taxonomicRelationship                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
temporalRelationship                    domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
typeOf                                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
usesProcess                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
usingValue                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
valueUsedIn                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
hasImage                                domain: aosc:c_domain_concept	                                                range: aosc:c_image	                                                         
isImageOf                               domain: aosc:c_image	                                                        range: aosc:c_domain_concept	                                                
isLexicalizationOf                      domain: aosc:c_lexicalization	                                                range: aosc:c_category	                                                      
correspondsTo                           domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasAbbreviation                         domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasAcronym                              domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasBroaderSynonym                       domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasChemicalFormula                      domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasDialectalVariant                     domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasLocalName                            domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasNarrowerSynonym                      domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasNearSynonym                          domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasOldName                              domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasRelatedTerm                          domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasScientificName                       domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasScopenoteRelatedToTerm               domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasSymbol                               domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasSynonym                              domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasTradeName                            domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasTranslation                          domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
hasTransliteration                      domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isAbbreviationOf                        domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isAcronymOf                             domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isChemicalFormulaOf                     domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isDialectalVariantOf                    domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isLocalNameOf                           domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isOldNameOf                             domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isSymbolFor                             domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
isTermReferencedInScopenote             domain: aosc:c_lexicalization	                                                range: aosc:c_lexicalization	                                                
